image_id,xai_method,baseline,curve,auc,target_class,fractions,probabilities,actual_backend
003f749ca95fcdc13c9bab7dd99d14ab25e5b2ab18e3444ec72e68dcc6531bde,integrated_gradients,mean,deletion,0.8245984464883804,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9478458166122437, 0.9822362661361694, 0.9979416728019714, 0.9789707064628601, 0.9892306923866272, 0.9946355223655701, 0.9915122389793396, 0.6670627593994141, 0.4836004972457886, 0.3752676844596863, 0.6232070326805115]",cuda
003f749ca95fcdc13c9bab7dd99d14ab25e5b2ab18e3444ec72e68dcc6531bde,integrated_gradients,mean,insertion,0.6027756630559452,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.6232070326805115, 0.0008141176076605916, 0.0008318332838825881, 0.1311822384595871, 0.22294440865516663, 0.8880929350852966, 0.9992475509643555, 0.9997734427452087, 0.9996634721755981, 0.9996801614761353, 0.9478458166122437]",cuda
003f749ca95fcdc13c9bab7dd99d14ab25e5b2ab18e3444ec72e68dcc6531bde,integrated_gradients,blur,deletion,0.8498370856046676,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9478458166122437, 0.9970646500587463, 0.9984807372093201, 0.9994643330574036, 0.9998816251754761, 0.9999347925186157, 0.9999475479125977, 0.9991268515586853, 0.825470507144928, 0.15766820311546326, 0.09481724351644516]",cuda
003f749ca95fcdc13c9bab7dd99d14ab25e5b2ab18e3444ec72e68dcc6531bde,integrated_gradients,blur,insertion,0.7448917906731367,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.09481724351644516, 0.013600785285234451, 0.05778046324849129, 0.8674303889274597, 0.9984649419784546, 0.9995445609092712, 0.9998555183410645, 0.9995256662368774, 0.9980862140655518, 0.9932978749275208, 0.9478458166122437]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,gradcam,mean,deletion,0.33175742581952367,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999719858169556, 0.9956600069999695, 0.9620825052261353, 0.4498264491558075, 0.28639188408851624, 0.04430333524942398, 0.027469443157315254, 0.0026546851731836796, 0.0003599450283218175, 0.04854152724146843, 0.000597066362388432]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,gradcam,mean,insertion,0.7507207836955785,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.000597066362388432, 0.08432397246360779, 0.01367770042270422, 0.9613404870033264, 0.995989978313446, 0.9964430928230286, 0.9974550604820251, 0.9927474856376648, 0.9947539567947388, 0.9701915383338928, 0.9999719858169556]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,gradcam,blur,deletion,0.7254094481468202,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999719858169556, 0.9998875856399536, 0.9994007349014282, 0.9165855050086975, 0.834130585193634, 0.7517697811126709, 0.47805264592170715, 0.7141808867454529, 0.5046534538269043, 0.25781551003456116, 0.5952635407447815]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,gradcam,blur,insertion,0.973369586467743,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.5952635407447815, 0.9400902986526489, 0.9961940050125122, 0.9999010562896729, 0.9999797344207764, 0.9999904632568359, 0.9999804496765137, 0.999984622001648, 0.9999949932098389, 0.9999624490737915, 0.9999719858169556]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,integrated_gradients,mean,deletion,0.6980074814520778,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.9999719858169556, 0.99782395362854, 0.9874952435493469, 0.996410071849823, 0.9978255033493042, 0.9982916712760925, 0.7909380197525024, 0.3968338072299957, 0.2971836030483246, 0.01698855124413967, 0.000597066362388432]",cuda
005c597a68451ce3ebccfec40facb5cc8639e2d98ceb3543f1a2a934c86843b8,integrated_gradients,mean,insertion,0.5451681083068252,0,"[0.0, 0.1, 0.2, 0.30000000000000004, 0.4, 0.5, 0.6000000000000001, 0.7000000000000001, 0.8, 0.9, 1.0]","[0.000597066362388432, 0.03379932790994644, 0.0001312213425990194, 0.00964011438190937, 0.21999473869800568, 0.7319458723068237, 0.967727541923523, 0.9883671402931213, 0.9999309778213501, 0.9998595714569092, 0.9999719858169556]",cuda
